,symbols,date,close,open,max_price,min_price
2956,TCB,2022-02-18,51600.0,51700.0,52000.0,51500.0
2957,POW,2022-02-18,18550.0,18400.0,18800.0,18300.0
2958,VHM,2022-02-18,79700.0,80000.0,80300.0,79600.0
2959,FPT,2022-02-18,92200.0,92300.0,92500.0,91700.0
2960,FPT,2022-02-17,92800.0,91900.0,92800.0,91000.0
2961,VHM,2022-02-17,80800.0,80000.0,80800.0,79700.0
2962,TCB,2022-02-17,52200.0,51600.0,52500.0,51600.0
2963,HPG,2022-02-17,46500.0,46000.0,46750.0,46000.0
2964,POW,2022-02-17,18600.0,18400.0,18950.0,18150.0
2965,POW,2022-02-16,18200.0,18400.0,18600.0,18100.0
2966,FPT,2022-02-16,91300.0,91700.0,92500.0,91300.0
2967,TCB,2022-02-16,51600.0,52200.0,52200.0,51500.0
2968,VHM,2022-02-16,80000.0,80300.0,80500.0,79700.0
2969,HPG,2022-02-16,46000.0,46100.0,46500.0,45600.0
2970,VHM,2022-02-15,80000.0,78100.0,80900.0,78100.0
2971,FPT,2022-02-15,91100.0,91000.0,91700.0,90500.0
2972,HPG,2022-02-15,46000.0,46200.0,46550.0,45400.0
2973,TCB,2022-02-15,51800.0,51600.0,52100.0,51300.0
2974,POW,2022-02-15,18100.0,17700.0,18150.0,17300.0
2975,VHM,2022-02-14,78100.0,79000.0,79500.0,78100.0
2976,TCB,2022-02-14,51500.0,53200.0,53200.0,51500.0
2977,HPG,2022-02-14,46200.0,46500.0,47500.0,46150.0
2978,POW,2022-02-14,17700.0,17900.0,18350.0,17700.0
2979,FPT,2022-02-14,91000.0,91000.0,91600.0,90400.0
2980,POW,2022-02-11,18300.0,18500.0,18700.0,18100.0
2981,FPT,2022-02-11,91600.0,91800.0,92400.0,91400.0
2982,VHM,2022-02-11,79700.0,80000.0,80500.0,79500.0
2983,HPG,2022-02-11,47150.0,46600.0,47500.0,46300.0
2984,TCB,2022-02-11,53700.0,53500.0,53800.0,53000.0
2985,HPG,2022-02-10,47000.0,47400.0,47900.0,46700.0
2986,POW,2022-02-10,18550.0,17850.0,18800.0,17850.0
2987,VHM,2022-02-10,80100.0,81800.0,81800.0,79600.0
2988,TCB,2022-02-10,53600.0,53600.0,54200.0,53100.0
2989,FPT,2022-02-10,92000.0,91400.0,92000.0,90200.0
2990,VHM,2022-02-09,81500.0,81200.0,84000.0,81200.0
2991,TCB,2022-02-09,53600.0,54000.0,54900.0,53600.0
2992,FPT,2022-02-09,90700.0,91700.0,91700.0,90600.0
2993,HPG,2022-02-09,47300.0,45800.0,48300.0,45700.0
2994,POW,2022-02-09,17800.0,17900.0,18150.0,17700.0
2995,HPG,2022-02-08,45550.0,43000.0,45550.0,43000.0
2996,FPT,2022-02-08,90600.0,89500.0,91800.0,89500.0
2997,TCB,2022-02-08,53800.0,52800.0,54300.0,52800.0
2998,VHM,2022-02-08,81200.0,82500.0,82500.0,81000.0
2999,POW,2022-02-08,17900.0,17800.0,18150.0,17550.0
3000,TCB,2022-02-07,52800.0,53700.0,53800.0,52800.0
3001,HPG,2022-02-07,43050.0,42800.0,43700.0,41800.0
3002,POW,2022-02-07,17850.0,17000.0,17950.0,16900.0
3003,VHM,2022-02-07,82200.0,81600.0,83000.0,81200.0
3004,FPT,2022-02-07,89500.0,90000.0,90100.0,89000.0
3005,POW,2022-01-28,16800.0,16400.0,16950.0,16200.0
3006,TCB,2022-01-28,52800.0,51900.0,53000.0,51600.0
3007,VHM,2022-01-28,80300.0,80400.0,81200.0,80200.0
3008,HPG,2022-01-28,42200.0,42250.0,42800.0,41700.0
3009,FPT,2022-01-28,89500.0,86000.0,89500.0,85900.0
3010,FPT,2022-01-27,85900.0,86000.0,86700.0,85400.0
3011,POW,2022-01-27,16400.0,16300.0,16400.0,16000.0
3012,TCB,2022-01-27,51900.0,52000.0,52700.0,51500.0
3013,VHM,2022-01-27,81000.0,81200.0,81800.0,79700.0
3014,HPG,2022-01-27,42150.0,43200.0,43500.0,42000.0
3015,HPG,2022-01-26,43450.0,43500.0,44450.0,43450.0
3016,TCB,2022-01-26,52400.0,52400.0,53300.0,52000.0
3017,VHM,2022-01-26,81200.0,81000.0,81200.0,80000.0
3018,POW,2022-01-26,16300.0,16800.0,16850.0,16300.0
3019,FPT,2022-01-26,86000.0,87000.0,87000.0,85500.0
3020,HPG,2022-01-25,43250.0,40500.0,43300.0,40200.0
3021,FPT,2022-01-25,86500.0,85200.0,87500.0,84000.0
3022,VHM,2022-01-25,81000.0,76500.0,81000.0,75700.0
3023,POW,2022-01-25,16550.0,15100.0,16550.0,15100.0
3024,TCB,2022-01-25,51900.0,51200.0,52100.0,51000.0
3025,VHM,2022-01-24,76200.0,78700.0,79000.0,76200.0
3026,HPG,2022-01-24,40700.0,43100.0,43200.0,40700.0
3027,TCB,2022-01-24,50300.0,49950.0,51400.0,49800.0
3028,FPT,2022-01-24,85300.0,88200.0,88500.0,85000.0
3029,POW,2022-01-24,15500.0,16500.0,16500.0,15500.0
3030,HPG,2022-01-21,43300.0,44000.0,44450.0,43100.0
3031,VHM,2022-01-21,79400.0,79400.0,79500.0,77700.0
3032,TCB,2022-01-21,49800.0,49000.0,50800.0,48900.0
3033,FPT,2022-01-21,88200.0,89000.0,89800.0,88200.0
3034,POW,2022-01-21,16650.0,17000.0,17150.0,16600.0
3035,TCB,2022-01-20,48950.0,48650.0,48950.0,48600.0
3036,VHM,2022-01-20,78600.0,77600.0,78800.0,77400.0
3037,FPT,2022-01-20,90900.0,88400.0,91000.0,88300.0
3038,POW,2022-01-20,16650.0,16100.0,16900.0,15800.0
3039,HPG,2022-01-20,44000.0,43800.0,44050.0,43300.0
3040,TCB,2022-01-19,48800.0,49000.0,49400.0,48800.0
3041,HPG,2022-01-19,43550.0,44400.0,44550.0,43450.0
3042,POW,2022-01-19,15750.0,15600.0,16100.0,15500.0
3043,VHM,2022-01-19,77400.0,77000.0,78300.0,77000.0
3044,FPT,2022-01-19,88400.0,88100.0,89200.0,88000.0
3045,HPG,2022-01-18,44000.0,44500.0,45250.0,43000.0
3046,TCB,2022-01-18,48750.0,48600.0,49450.0,48500.0
3047,POW,2022-01-18,15400.0,15800.0,16400.0,15350.0
3048,VHM,2022-01-18,77000.0,79200.0,80000.0,76100.0
3049,FPT,2022-01-18,88100.0,88300.0,89600.0,88000.0
3050,POW,2022-01-17,16500.0,17700.0,17700.0,16500.0
3051,VHM,2022-01-17,79100.0,82300.0,82500.0,79100.0
3052,HPG,2022-01-17,44700.0,46250.0,46500.0,44700.0
3053,FPT,2022-01-17,89000.0,90500.0,91300.0,89000.0
3054,TCB,2022-01-17,48600.0,49700.0,50500.0,48600.0
3055,FPT,2022-01-14,91300.0,91700.0,92100.0,90900.0
3056,VHM,2022-01-14,82200.0,82000.0,82800.0,81600.0
3057,TCB,2022-01-14,49750.0,50000.0,50400.0,49500.0
3058,HPG,2022-01-14,46250.0,46500.0,46850.0,46200.0
3059,POW,2022-01-14,17700.0,16500.0,17800.0,16500.0
3060,POW,2022-01-13,16900.0,18150.0,18650.0,16900.0
3061,TCB,2022-01-13,50500.0,50900.0,51800.0,50200.0
3062,HPG,2022-01-13,46700.0,46300.0,47300.0,46200.0
3063,VHM,2022-01-13,82200.0,84000.0,84300.0,82000.0
3064,FPT,2022-01-13,92100.0,90900.0,92700.0,89800.0
3065,HPG,2022-01-12,46200.0,45200.0,46250.0,45150.0
3066,VHM,2022-01-12,83600.0,83000.0,84400.0,81400.0
3067,POW,2022-01-12,18150.0,18650.0,19200.0,17350.0
3068,FPT,2022-01-12,89600.0,89100.0,90600.0,88500.0
3069,TCB,2022-01-12,50400.0,48450.0,50400.0,48400.0
3070,TCB,2022-01-11,48450.0,48900.0,49100.0,48400.0
3071,FPT,2022-01-11,89500.0,92000.0,92200.0,89100.0
3072,HPG,2022-01-11,45100.0,46050.0,46050.0,45100.0
3073,VHM,2022-01-11,83600.0,85500.0,85700.0,83000.0
3074,POW,2022-01-11,18650.0,19000.0,19400.0,18450.0
3075,POW,2022-01-10,18750.0,20500.0,20800.0,18750.0
